MMM - 3M Company,Analysts,146.38B,2017-10-31 18:38:34.882723
ABT - Abbott Laboratories,Analysts,108.58B,2017-10-31 18:38:41.223073
ABBV - AbbVie Inc.,Analysts,176.88B,2017-10-31 18:38:47.166630
ACN - Accenture plc,Analysts,84.38B,2017-10-31 18:38:53.211177
"ATVI - Activision Blizzard, Inc.",Analysts,50.41B,2017-10-31 18:38:59.154009
"AYI - Acuity Brands, Inc.",Analysts,6.69B,2017-10-31 18:39:05.230047
ADBE - Adobe Systems Incorporated,Analysts,83.29B,2017-10-31 18:39:12.820977
"AMD - Advanced Micro Devices, Inc.",Analysts,10.88B,2017-10-31 18:39:22.012810
"AAP - Advance Auto Parts, Inc.",Analysts,6.84B,2017-10-31 18:39:28.215008
AES - The AES Corporation,Analysts,25.93B,2017-10-31 18:39:34.071994
AET - Aetna Inc.,Analysts,60.33B,2017-10-31 18:39:39.771850
"AMG - Affiliated Managers Group, Inc.",Analysts,11.94B,2017-10-31 18:39:45.626109
AFL - Aflac Incorporated,Analysts,34.69B,2017-10-31 18:39:51.702223
